event_day,event_hour,topics,city,country
2017-04-02,03:00,Photography Classes,Melbourne,au
2017-04-02,03:00,Amateur Photography,Melbourne,au
2017-04-02,03:00,Landscape Photography,Melbourne,au
2017-04-02,03:00,Portrait Photography,Melbourne,au
2017-04-02,03:00,Street Photography,Melbourne,au
2017-04-02,03:00,Film Photography,Melbourne,au
2017-04-02,03:00,35mm Format Photography,Melbourne,au
2017-03-26,09:00,Fun and Laughter,Perth,au
2017-03-26,09:00,Social,Perth,au
2017-03-26,09:00,Singles 30's-50's,Perth,au
2017-03-26,09:00,Social Networking,Perth,au
2017-03-20,09:45,DIY (Do It Yourself),Brisbane,au
2017-03-20,09:45,3D Artists,Brisbane,au
2017-03-20,09:45,3D,Brisbane,au
2017-03-20,09:45,3d printers,Brisbane,au
2017-03-20,09:45,3D Modeling,Brisbane,au
2017-03-20,09:45,Arduino,Brisbane,au
2017-03-20,09:45,Makers,Brisbane,au
2017-03-20,09:45,3D Printing,Brisbane,au
2017-03-20,09:45,Advanced Manufacturing & Engineering,Brisbane,au
2017-03-20,09:45,Product Design,Brisbane,au
2017-03-20,09:45,Innovation,Brisbane,au
2017-03-19,16:00,Walking,Ocean Grove,us
2017-03-19,16:00,Singles,Ocean Grove,us
2017-03-19,16:00,Fitness,Ocean Grove,us
2017-03-20,03:00,Fitness,Singapore,sg
2017-03-20,03:00,Badminton,Singapore,sg
2017-03-20,03:00,Sports and Socials,Singapore,sg
2017-03-20,03:00,Social Badminton,Singapore,sg
2017-03-20,03:00,Coached Badminton,Singapore,sg
2017-03-20,03:00,Singapore Badminton,Singapore,sg
2017-03-20,03:00,Badminton training,Singapore,sg
2017-03-20,03:00,Badminton League,Singapore,sg
2017-03-20,03:00,Doubles Badminton,Singapore,sg
2017-03-20,03:00,badminton pals,Singapore,sg
2017-03-20,03:00,Sunday Badminton,Singapore,sg
2017-03-20,03:00,Saturday Badminton,Singapore,sg
2017-03-26,09:00,Fun and Laughter,Perth,au
2017-03-26,09:00,Social,Perth,au
2017-03-26,09:00,Singles 30's-50's,Perth,au
2017-03-26,09:00,Social Networking,Perth,au
2017-03-26,17:45,Hiking,Scottsdale,us
2017-03-26,17:45,Outdoors,Scottsdale,us
2017-03-26,17:45,Walking,Scottsdale,us
2017-03-26,17:45,Fitness,Scottsdale,us
2017-03-26,17:45,Mountain Biking,Scottsdale,us
2017-04-01,17:00,Games,Cleveland,us
2017-04-01,17:00,Gaming,Cleveland,us
2017-04-01,17:00,Board Games,Cleveland,us
2017-04-01,17:00,Strategy Games,Cleveland,us
2017-04-01,17:00,Card Games,Cleveland,us
2017-04-01,17:00,War Games,Cleveland,us
2017-04-01,17:00,Euro Games,Cleveland,us
2017-04-01,17:00,Game Night,Cleveland,us
2017-04-01,17:00,Fun Times,Cleveland,us
2017-04-01,17:00,Social,Cleveland,us
2017-03-21,19:45,Startup Businesses,Barcelona,es
